Epoch:10  Net1:0.9507784625364905  Net2:0.9401894341471381
Epoch:11  Net1:0.9427530269190079  Net2:0.9419244120285503
Epoch:12  Net1:0.9580347582571452  Net2:0.9554507763596456
Epoch:13  Net1:0.9636431784107946  Net2:0.9584833809346414
Epoch:14  Net1:0.9691159002206007  Net2:0.9625111195831745
Epoch:15  Net1:0.9666779431664412  Net2:0.9518874317375533
Epoch:16  Net1:0.9664921897539464  Net2:0.9571422795455464
Epoch:17  Net1:0.968384993189979  Net2:0.9549984056122449
Epoch:18  Net1:0.9673221163592135  Net2:0.9684523570309046
Epoch:19  Net1:0.9755559189012426  Net2:0.9670217542141137
Epoch:20  Net1:0.9740153284970695  Net2:0.9728462510702491
Epoch:21  Net1:0.9745845552297165  Net2:0.9723799480856586
Epoch:22  Net1:0.9733730223454575  Net2:0.9687462579331817
Epoch:23  Net1:0.9753588419468955  Net2:0.9754296730792895
